Brand,Model,CPU,GPU,RAM_GB,Storage_GB,Touchscreen,Weight_kg,Screen_Size_inch,Price_SGD,RAM_per_kg
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4060,16,2048,True,1.68,16.0,2878.02,9.523809523809524
Acer,Predator Helios 300,Intel i5-14600H,NVIDIA RTX 4050,16,2048,False,2.89,17.3,2243.99,5.536332179930795
Acer,Nitro 5,Intel i7-14700H,NVIDIA RTX 4070,8,2048,False,2.89,17.3,3039.38,2.7681660899653977
Acer,Swift 3,Intel Core Ultra 9 15700H,Intel Arc A750M,64,2048,True,2.27,15.6,2419.91,28.19383259911894
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,8,512,True,1.95,16.0,2081.67,4.102564102564103
Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,64,1024,False,3.17,17.3,3036.91,20.189274447949526
Acer,TravelMate P6,Intel i7-14700H,NVIDIA RTX 4070,128,4096,True,1.72,16.0,4309.23,74.4186046511628
Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,32,2048,True,3.01,18.4,3052.6,10.631229235880399
Acer,Nitro 5,Intel i5-14600H,NVIDIA RTX 3050,64,1024,True,1.16,14.0,2472.75,55.17241379310345
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,16,4096,False,1.02,14.0,3416.8,15.686274509803921
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 3050,16,2048,True,2.58,17.3,2121.87,6.201550387596899
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,16,512,False,1.53,15.6,3600.11,10.457516339869281
Acer,Nitro 5,Intel i5-14500H,NVIDIA RTX 3050,64,4096,False,1.94,15.6,2722.59,32.98969072164949
Acer,Swift 3,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,1024,False,1.59,15.6,2301.13,20.12578616352201
Acer,TravelMate P6,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,4096,True,2.34,15.6,3227.65,13.675213675213676
Acer,Swift 3,AMD Ryzen 9 8900HX,AMD Radeon 780M,8,2048,False,1.22,14.0,2769.23,6.557377049180328
Acer,Predator Helios 300,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,512,True,1.46,14.0,3836.7,10.95890410958904
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,32,2048,True,1.96,16.0,3349.19,16.3265306122449
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,32,2048,False,2.98,18.4,3324.26,10.738255033557047
Acer,TravelMate P6,Intel i7-14800H,NVIDIA RTX 4070,64,4096,False,2.23,16.0,3775.69,28.699551569506728
Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,2048,True,1.48,13.3,2768.02,5.405405405405405
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,128,4096,True,2.53,18.4,4452.28,50.59288537549408
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4060,16,512,True,2.63,18.4,2676.19,6.083650190114069
Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,128,256,True,2.44,15.6,2800.7,52.459016393442624
Acer,Nitro 5,Intel i9-14900HK,NVIDIA RTX 4070,32,1024,True,1.19,13.3,3721.9,26.89075630252101
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,8,4096,True,1.18,13.3,3465.71,6.779661016949153
Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,8,1024,False,1.35,14.0,1626.91,5.925925925925926
Acer,Predator Helios 300,Intel Core Ultra 9 15700H,Intel Arc A750M,64,1024,False,2.92,17.3,2124.7,21.91780821917808
Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,8,512,True,3.37,17.3,1820.28,2.373887240356083
Acer,Aspire 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,64,1024,True,2.15,15.6,3777.82,29.767441860465116
Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,64,4096,False,2.44,16.0,3385.15,26.229508196721312
Acer,Aspire 5,Intel i5-14600H,Intel Iris Xe,32,2048,True,1.76,15.6,2231.08,18.181818181818183
Acer,Nitro 5,Intel i9-14900HK,NVIDIA RTX 4080,32,512,False,2.79,18.4,3766.42,11.469534050179211
Acer,Swift 3,Intel i9-14900HK,NVIDIA RTX 4080,128,2048,False,1.37,13.3,4862.14,93.43065693430657
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,256,True,1.21,13.3,2468.41,52.892561983471076
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,32,256,True,2.62,18.4,1928.39,12.213740458015266
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,32,512,False,2.4,16.0,1980.42,13.333333333333334
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,32,1024,True,1.18,14.0,3494.09,27.118644067796613
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,16,256,True,2.27,15.6,1949.11,7.048458149779735
Acer,Nitro 5,AMD Ryzen 7 8800H,NVIDIA RTX 4070,64,2048,False,2.01,15.6,3507.76,31.840796019900502
Acer,TravelMate P6,Intel i5-14500H,Intel Iris Xe,64,512,False,1.47,14.0,2127.07,43.53741496598639
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,128,512,True,1.42,14.0,4402.93,90.14084507042254
Acer,Swift 3,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,2048,False,2.52,17.3,4425.75,25.396825396825395
Acer,Swift 3,Intel i5-14600H,NVIDIA RTX 4050,128,1024,False,1.25,13.3,3252.33,102.4
Acer,TravelMate P6,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,1024,True,1.11,13.3,3012.33,28.828828828828826
Acer,Predator Helios 300,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,4096,True,2.75,18.4,3238.81,11.636363636363637
Acer,Nitro 5,Intel i5-14500H,NVIDIA RTX 4050,8,1024,False,3.11,17.3,2038.19,2.572347266881029
Acer,Nitro 5,Intel i5-14600H,NVIDIA RTX 4050,128,1024,True,1.3,13.3,3264.49,98.46153846153845
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,32,4096,False,2.8,18.4,4303.91,11.428571428571429
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4060,16,1024,True,1.1,14.0,2729.33,14.545454545454545
Acer,TravelMate P6,AMD Ryzen 7 8800H,NVIDIA RTX 4070,128,2048,False,3.06,18.4,4116.44,41.830065359477125
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,128,2048,True,1.9,16.0,4430.89,67.36842105263158
Acer,TravelMate P6,Intel i7-14800H,NVIDIA RTX 4070,16,2048,False,1.79,15.6,3158.48,8.938547486033519
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,64,512,False,1.46,14.0,4018.19,43.83561643835616
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,32,256,True,2.43,15.6,3956.54,13.16872427983539
Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,1024,False,3.25,18.4,2598.42,2.4615384615384617
Acer,Aspire 5,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,128,4096,True,2.24,15.6,4074.21,57.14285714285714
Acer,TravelMate P6,Intel i7-14700H,NVIDIA RTX 4060,64,512,False,1.16,14.0,3087.49,55.17241379310345
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4080,128,2048,False,1.97,15.6,4533.15,64.9746192893401
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,8,256,False,1.12,13.3,2820.28,7.142857142857142
Acer,Nitro 5,Intel Core Ultra 7 15500H,Intel Arc A750M,128,4096,True,1.39,14.0,3185.29,92.08633093525181
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,4096,True,1.17,14.0,2732.72,54.700854700854705
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4060,8,1024,False,1.22,14.0,2604.05,6.557377049180328
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4080,64,256,True,3.0,18.4,4198.69,21.333333333333332
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4070,8,1024,True,1.31,13.3,3025.61,6.106870229007633
Acer,Nitro 5,Intel i5-14500H,Intel Iris Xe,8,1024,False,1.2,14.0,1848.24,6.666666666666667
Acer,Swift 3,Intel i5-14600H,Intel Iris Xe,64,256,True,2.75,17.3,2258.67,23.272727272727273
Acer,Swift 3,Intel i5-14500H,NVIDIA RTX 4050,64,4096,True,2.84,18.4,3024.7,22.535211267605636
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 3050,16,1024,True,3.15,18.4,1998.16,5.079365079365079
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,64,2048,True,2.56,18.4,4389.78,25.0
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,8,2048,True,3.13,18.4,3437.49,2.5559105431309903
Acer,Nitro 5,Intel Core Ultra 9 15700H,Intel Arc A750M,16,2048,False,2.92,18.4,1818.8,5.47945205479452
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4060,16,2048,True,2.73,17.3,2844.42,5.86080586080586
Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,8,4096,True,3.4,17.3,2238.89,2.3529411764705883
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 4050,128,512,False,1.47,14.0,2965.65,87.07482993197279
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4060,16,512,True,2.36,15.6,2671.77,6.779661016949153
Acer,Nitro 5,Intel i7-14800H,NVIDIA RTX 4080,8,1024,True,3.01,17.3,3434.14,2.6578073089700998
Acer,TravelMate P6,AMD Ryzen 7 8800H,AMD Radeon 780M,64,512,False,1.19,13.3,2874.69,53.78151260504202
Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,128,512,True,3.07,18.4,2864.26,41.69381107491857
Acer,Predator Helios 300,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,1024,True,3.15,17.3,3855.82,40.63492063492063
Acer,Swift 3,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,2048,False,2.84,18.4,3755.46,5.633802816901409
Acer,Swift 3,AMD Ryzen 7 8800H,NVIDIA RTX 4060,64,1024,False,3.35,17.3,3097.36,19.104477611940297
Acer,Nitro 5,Intel Core Ultra 9 15700H,Intel Arc A750M,32,512,False,2.56,18.4,1853.61,12.5
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,128,256,False,1.35,14.0,2614.82,94.81481481481481
Acer,TravelMate P6,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,128,1024,False,2.28,15.6,4711.01,56.140350877192986
Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,16,512,False,1.05,13.3,3138.57,15.238095238095237
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4060,16,512,True,1.41,14.0,2642.25,11.347517730496454
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 3050,8,4096,True,1.67,16.0,2323.97,4.790419161676647
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4070,64,2048,False,1.17,14.0,3940.11,54.700854700854705
Acer,Swift 3,Intel i5-14600H,Intel Iris Xe,32,256,True,2.39,16.0,2040.33,13.389121338912133
Acer,TravelMate P6,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,8,1024,False,1.22,13.3,3120.75,6.557377049180328
Acer,Nitro 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,128,256,False,1.45,14.0,4545.44,88.27586206896552
Acer,Swift 3,Intel i9-14900HK,NVIDIA RTX 4080,32,2048,False,2.01,15.6,4131.02,15.920398009950251
Acer,TravelMate P6,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,1024,False,1.86,15.6,2663.87,8.602150537634408
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4060,64,256,False,2.02,15.6,2968.79,31.683168316831683
Acer,TravelMate P6,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,256,True,1.38,14.0,4268.19,46.376811594202906
Acer,Nitro 5,Intel Core Ultra 9 15700H,Intel Arc A750M,64,512,True,1.09,13.3,2272.27,58.715596330275226
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,128,256,True,2.45,16.0,2845.39,52.24489795918367
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 3050,8,256,True,3.48,18.4,1833.04,2.2988505747126435
Acer,Predator Helios 300,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,256,False,1.32,13.3,2695.3,24.242424242424242
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,64,1024,False,1.45,13.3,2171.29,44.13793103448276
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,32,512,False,1.67,16.0,2762.83,19.16167664670659
Acer,Swift 3,AMD Ryzen 7 8800H,AMD Radeon 780M,128,512,True,2.89,17.3,3399.62,44.29065743944636
Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,64,512,False,2.33,15.6,2913.92,27.467811158798284
Acer,Swift 3,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,512,True,1.82,15.6,2920.51,17.58241758241758
Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,8,512,False,1.42,14.0,2526.73,5.633802816901409
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4080,64,4096,True,1.8,15.6,4414.92,35.55555555555556
Acer,Swift 3,Intel i5-14600H,NVIDIA RTX 4050,32,256,False,1.58,15.6,2235.9,20.253164556962023
Acer,Nitro 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,256,False,1.93,16.0,4012.01,33.160621761658035
Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,128,256,True,1.37,13.3,3639.4,93.43065693430657
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4070,32,4096,True,1.66,15.6,3465.46,19.27710843373494
Acer,Swift 3,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,512,False,2.79,18.4,2448.96,2.867383512544803
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,128,256,True,2.54,17.3,3185.9,50.39370078740157
Acer,Nitro 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,64,512,True,3.0,17.3,3816.09,21.333333333333332
Acer,TravelMate P6,Intel i7-14700H,NVIDIA RTX 4060,32,512,True,2.32,15.6,2836.51,13.793103448275863
Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,32,4096,False,1.55,16.0,3185.87,20.64516129032258
Acer,Nitro 5,Intel i7-14800H,NVIDIA RTX 4080,64,4096,False,2.23,15.6,4180.94,28.699551569506728
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,128,2048,True,1.49,13.3,4092.8,85.90604026845638
Acer,Aspire 5,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,128,4096,False,3.01,17.3,3665.84,42.524916943521596
Acer,Aspire 5,AMD Ryzen 5 8600H,AMD Radeon 680M,32,512,True,3.27,17.3,2078.91,9.785932721712538
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,64,256,True,1.92,15.6,2345.74,33.333333333333336
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 3050,128,256,False,1.26,14.0,2780.58,101.58730158730158
Acer,TravelMate P6,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,2048,False,3.01,18.4,2369.51,21.262458471760798
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,8,512,False,1.18,13.3,2958.42,6.779661016949153
Acer,Nitro 5,Intel i5-14500H,NVIDIA RTX 4050,32,2048,False,1.74,15.6,2364.13,18.39080459770115
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4060,64,2048,False,1.18,13.3,3151.29,54.237288135593225
Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,2048,False,1.35,14.0,2765.58,23.703703703703702
Acer,Aspire 5,AMD Ryzen 9 8900HX,AMD Radeon 780M,64,4096,True,1.89,15.6,3719.56,33.86243386243387
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,8,256,False,2.29,16.0,1594.7,3.493449781659389
Acer,Aspire 5,Intel i5-14600H,NVIDIA RTX 3050,128,4096,True,1.1,13.3,3461.15,116.36363636363636
Acer,Predator Helios 300,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,256,False,1.38,14.0,2948.91,46.376811594202906
Acer,Predator Helios 300,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,64,512,False,1.3,13.3,2729.77,49.230769230769226
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,32,1024,False,1.19,14.0,3549.22,26.89075630252101
Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,8,256,False,1.4,14.0,2440.55,5.714285714285714
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,4096,False,1.42,14.0,2633.98,22.535211267605636
Acer,TravelMate P6,AMD Ryzen 7 8800H,AMD Radeon 780M,128,1024,False,3.05,18.4,3368.4,41.9672131147541
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4070,32,2048,True,2.3,15.6,3330.27,13.913043478260871
Acer,Nitro 5,Intel i5-14500H,Intel Iris Xe,64,4096,False,1.04,14.0,2674.71,61.53846153846153
Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,256,False,2.36,16.0,2517.99,3.3898305084745766
Acer,Nitro 5,AMD Ryzen 5 8600H,AMD Radeon 680M,8,512,False,3.42,17.3,1698.82,2.3391812865497075
Acer,Nitro 5,Intel i7-14800H,NVIDIA RTX 4060,8,4096,False,2.7,17.3,2912.32,2.962962962962963
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4060,32,1024,True,2.91,18.4,3009.96,10.996563573883162
Acer,Aspire 5,Intel i5-14600H,Intel Iris Xe,8,256,False,2.66,17.3,1676.99,3.007518796992481
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4080,128,1024,True,1.6,15.6,4433.14,80.0
Acer,Swift 3,Intel i5-14600H,NVIDIA RTX 3050,32,2048,False,1.34,14.0,2028.87,23.88059701492537
Acer,Aspire 5,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,256,True,2.6,18.4,3142.78,24.615384615384613
Acer,TravelMate P6,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,1024,False,2.19,16.0,3088.87,29.223744292237445
Acer,TravelMate P6,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,1024,False,3.5,18.4,3655.27,36.57142857142857
Acer,Nitro 5,Intel i5-14500H,Intel Iris Xe,128,4096,True,2.24,16.0,3370.01,57.14285714285714
Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,16,4096,True,1.23,13.3,2218.36,13.008130081300813
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4070,128,2048,True,1.54,16.0,4612.53,83.11688311688312
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4080,64,1024,False,2.81,17.3,3738.68,22.775800711743774
Acer,TravelMate P6,Intel i5-14600H,Intel Iris Xe,16,1024,False,2.29,15.6,1816.01,6.986899563318778
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4060,32,2048,False,1.12,14.0,2938.79,28.57142857142857
Acer,Swift 3,AMD Ryzen 5 8600H,AMD Radeon 680M,128,2048,False,2.39,16.0,2948.59,53.55648535564853
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 3050,8,2048,False,1.47,13.3,1921.72,5.442176870748299
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,16,1024,False,1.1,14.0,2230.48,14.545454545454545
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,128,2048,True,3.23,18.4,4240.18,39.628482972136226
Acer,Predator Helios 300,Intel i5-14600H,Intel Iris Xe,32,256,False,1.09,14.0,2031.32,29.357798165137613
Acer,Nitro 5,Intel i7-14700H,NVIDIA RTX 4070,128,256,False,1.16,14.0,3934.51,110.3448275862069
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4080,128,512,True,1.37,14.0,4830.99,93.43065693430657
Asus,ZenBook 14,Intel Core Ultra 7 15500H,Intel Arc A750M,8,256,True,1.32,13.3,1709.01,6.0606060606060606
Asus,ExpertBook B9,Intel i9-14900HK,NVIDIA RTX 4070,32,2048,False,2.04,16.0,3655.53,15.686274509803921
Asus,TUF Gaming F15,Intel i7-14700H,NVIDIA RTX 4070,64,256,False,2.45,15.6,3391.66,26.122448979591834
Asus,TUF Gaming F15,Intel i9-14900HK,NVIDIA RTX 4080,16,4096,False,2.96,18.4,4102.91,5.405405405405405
Asus,ZenBook 14,AMD Ryzen 7 8800H,AMD Radeon 780M,8,1024,False,1.29,14.0,2370.49,6.201550387596899
Asus,ExpertBook B9,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,128,256,False,2.73,17.3,4084.06,46.88644688644688
Asus,TUF Gaming F15,Intel i5-14500H,NVIDIA RTX 4050,64,256,True,2.39,16.0,2675.35,26.778242677824267
Asus,ExpertBook B9,Intel i7-14700H,NVIDIA RTX 4070,64,512,True,3.23,18.4,3469.63,19.814241486068113
Asus,TUF Gaming F15,Intel i5-14600H,NVIDIA RTX 4050,8,256,True,2.77,17.3,2210.41,2.888086642599278
Asus,TUF Gaming F15,Intel i9-14900HK,NVIDIA RTX 4070,64,512,True,1.17,14.0,3853.44,54.700854700854705
Asus,ZenBook 14,Intel i9-14900HK,NVIDIA RTX 4070,64,4096,False,2.02,15.6,4111.58,31.683168316831683
Asus,TUF Gaming F15,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,1024,True,1.19,13.3,4096.39,13.445378151260504
Asus,ZenBook 14,Intel i5-14500H,Intel Iris Xe,16,256,False,2.77,17.3,1762.25,5.776173285198556
Asus,ExpertBook B9,AMD Ryzen 5 8600H,AMD Radeon 680M,32,256,False,1.17,14.0,1966.33,27.350427350427353
Asus,ExpertBook B9,AMD Ryzen 7 8800H,NVIDIA RTX 4060,64,512,True,2.31,16.0,3172.83,27.705627705627705
Asus,VivoBook S15,Intel i7-14700H,NVIDIA RTX 4060,64,256,True,1.36,13.3,3031.61,47.05882352941176
Asus,VivoBook S15,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,128,256,False,2.21,15.6,3198.53,57.918552036199095
Asus,VivoBook S15,Intel i5-14600H,Intel Iris Xe,128,2048,False,2.5,18.4,3002.94,51.2
Asus,ExpertBook B9,Intel i9-14900HK,NVIDIA RTX 4080,32,256,True,1.3,13.3,3964.9,24.615384615384613
Asus,TUF Gaming F15,Intel i5-14600H,NVIDIA RTX 4050,128,2048,True,1.04,14.0,3371.56,123.07692307692307
Asus,ExpertBook B9,Intel Core Ultra 7 15500H,Intel Arc A750M,128,4096,True,2.63,17.3,3300.12,48.66920152091255
Asus,VivoBook S15,Intel i9-14900HK,NVIDIA RTX 4080,16,4096,False,1.01,13.3,4028.3,15.841584158415841
Asus,ZenBook 14,Intel i5-14600H,NVIDIA RTX 4050,8,256,False,2.52,18.4,2034.24,3.1746031746031744
Asus,ROG Zephyrus G15,Intel i5-14600H,NVIDIA RTX 4050,64,2048,False,2.75,18.4,2757.64,23.272727272727273
Asus,ROG Zephyrus G15,AMD Ryzen 5 8600H,AMD Radeon 680M,8,1024,True,1.43,13.3,1920.73,5.594405594405595
Asus,TUF Gaming F15,AMD Ryzen 9 8900HX,AMD Radeon 780M,16,4096,False,3.32,17.3,3076.54,4.819277108433735
Asus,ExpertBook B9,Intel i5-14600H,NVIDIA RTX 4050,64,512,False,1.47,14.0,2428.62,43.53741496598639
Asus,VivoBook S15,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,256,True,1.02,13.3,2376.66,31.372549019607842
Asus,ExpertBook B9,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,128,512,False,2.01,16.0,4023.22,63.681592039801004
Asus,TUF Gaming F15,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,128,2048,False,3.26,17.3,3861.22,39.263803680981596
Asus,ExpertBook B9,Intel i7-14800H,NVIDIA RTX 4070,16,4096,True,1.76,15.6,3370.32,9.090909090909092
Asus,ROG Zephyrus G15,AMD Ryzen 5 8600H,NVIDIA RTX 4050,16,4096,False,2.02,16.0,2553.55,7.920792079207921
Asus,ROG Zephyrus G15,Intel i7-14700H,NVIDIA RTX 4060,128,2048,False,2.63,17.3,3826.4,48.66920152091255
Asus,ROG Zephyrus G15,Intel i5-14500H,Intel Iris Xe,128,1024,True,2.48,16.0,3041.27,51.612903225806456
Asus,ROG Zephyrus G15,Intel i7-14700H,NVIDIA RTX 4070,32,512,False,1.55,16.0,3006.98,20.64516129032258
Asus,TUF Gaming F15,AMD Ryzen 7 8800H,NVIDIA RTX 4070,16,256,True,2.91,17.3,3116.26,5.498281786941581
Asus,VivoBook S15,Intel i5-14500H,NVIDIA RTX 4050,32,1024,True,2.58,17.3,2443.01,12.403100775193797
Asus,VivoBook S15,Intel i9-14900HK,NVIDIA RTX 4080,32,2048,False,3.08,17.3,3992.96,10.38961038961039
Asus,ROG Zephyrus G15,Intel i7-14800H,NVIDIA RTX 4060,128,4096,True,1.25,14.0,4200.89,102.4
