Brand,Model,CPU,GPU,RAM_GB,Storage_Type,Storage_GB,Touchscreen,Weight_kg,Screen_Size_inch,Discount_percent,Price_SGD,Brand_Discount,Member_Discount
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4060,16,SSD,2048,TRUE,1.68,16,13.23,1808.98,5,90.45
Acer,Predator Helios 300,Intel i5-14600H,NVIDIA RTX 4050,16,SSD,2048,FALSE,2.89,17.3,5.51,1538.82,5,76.94
Acer,Nitro 5,Intel i7-14700H,NVIDIA RTX 4070,8,SSD,2048,FALSE,2.89,17.3,6.88,2097.56,5,125.85
Acer,Swift 3,Intel Core Ultra 9 15700H,Intel Arc A750M,64,SSD,2048,TRUE,2.27,15.6,0.93,2773.93,5,194.18
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,8,SSD,512,TRUE,1.95,16,6.48,1386.63,5,69.33
Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,64,SSD,1024,FALSE,3.17,17.3,8.42,1774.78,5,88.74
Acer,TravelMate P6,Intel i7-14700H,NVIDIA RTX 4070,128,SSD,4096,TRUE,1.72,16,6.57,3187.38,5,223.12
Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,32,SSD,2048,TRUE,3.01,18.4,13.12,2466.05,5,147.96
Acer,Nitro 5,Intel i5-14600H,NVIDIA RTX 3050,64,SSD,1024,TRUE,1.16,14,14.73,1592.07,5,95.52
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,16,SSD,4096,FALSE,1.02,14,9.65,2427.37,5,169.92
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 3050,16,SSD,2048,TRUE,2.58,17.3,3.87,1620.46,5,81.02
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,16,SSD,512,FALSE,1.53,15.6,12.76,2141.68,5,128.50
Acer,Nitro 5,Intel i5-14500H,NVIDIA RTX 3050,64,SSD,4096,FALSE,1.94,15.6,5.87,1918.21,5,115.09
Acer,Swift 3,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,SSD,1024,FALSE,1.59,15.6,2.31,1510.67,5,75.53
Acer,TravelMate P6,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,SSD,4096,TRUE,2.34,15.6,8.7,2683.35,5,161.00
Acer,Swift 3,AMD Ryzen 9 8900HX,AMD Radeon 780M,8,SSD,2048,FALSE,1.22,14,14.14,1517.68,5,75.88
Acer,Predator Helios 300,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,SSD,512,TRUE,1.46,14,0.92,2549.78,5,127.49
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,32,SSD,2048,TRUE,1.96,16,14.73,2189.16,5,131.35
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,32,SSD,2048,FALSE,2.98,18.4,10.49,2540.77,5,152.45
Acer,TravelMate P6,Intel i7-14800H,NVIDIA RTX 4070,64,SSD,4096,FALSE,2.23,16,5.92,2740.27,5,191.82
Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,SSD,2048,TRUE,1.48,13.3,5.62,2602.16,5,182.15
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,128,SSD,4096,TRUE,2.53,18.4,5.65,3180.03,5,159.00
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4060,16,SSD,512,TRUE,2.63,18.4,0.58,1770.54,5,106.23
Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,128,SSD,256,TRUE,2.44,15.6,14.56,2258.63,5,158.10
Acer,Nitro 5,Intel i9-14900HK,NVIDIA RTX 4070,32,SSD,1024,TRUE,1.19,13.3,11.9,2355.96,5,141.36
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,8,SSD,4096,TRUE,1.18,13.3,8.18,2555.97,5,153.36
Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,8,SSD,1024,FALSE,1.35,14,1.42,2002.58,5,100.13
Acer,Predator Helios 300,Intel Core Ultra 9 15700H,Intel Arc A750M,64,SSD,1024,FALSE,2.92,17.3,3.01,2388.58,5,167.20
Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,8,SSD,512,TRUE,3.37,17.3,3.12,1418.56,5,99.30
Acer,Aspire 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,64,SSD,1024,TRUE,2.15,15.6,0.91,2689.82,5,134.49
Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,64,SSD,4096,FALSE,2.44,16,9.9,2821.56,5,197.51
Acer,Aspire 5,Intel i5-14600H,Intel Iris Xe,32,SSD,2048,TRUE,1.76,15.6,8.75,1526.85,5,76.34
Acer,Nitro 5,Intel i9-14900HK,NVIDIA RTX 4080,32,SSD,512,FALSE,2.79,18.4,8.61,2282.45,5,114.12
Acer,Swift 3,Intel i9-14900HK,NVIDIA RTX 4080,128,SSD,2048,FALSE,1.37,13.3,14.92,2870.25,5,143.51
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,SSD,256,TRUE,1.21,13.3,8.07,1555.61,5,93.34
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,32,SSD,256,TRUE,2.62,18.4,4.45,2039.42,5,122.37
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,32,SSD,512,FALSE,2.4,16,0.24,1269.58,5,76.17
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,32,SSD,1024,TRUE,1.18,14,0.76,2915.08,5,174.90
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,16,SSD,256,TRUE,2.27,15.6,12.07,1140.11,5,68.41
Acer,Nitro 5,AMD Ryzen 7 8800H,NVIDIA RTX 4070,64,SSD,2048,FALSE,2.01,15.6,5.62,2388.4,5,167.19
Acer,TravelMate P6,Intel i5-14500H,Intel Iris Xe,64,SSD,512,FALSE,1.47,14,6.49,1351.04,5,67.55
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,128,SSD,512,TRUE,1.42,14,10.02,2784.59,5,167.08
Acer,Swift 3,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,SSD,2048,FALSE,2.52,17.3,10.76,2565.78,5,153.95
Acer,Swift 3,Intel i5-14600H,NVIDIA RTX 4050,128,SSD,1024,FALSE,1.25,13.3,4.17,1963.96,5,117.84
Acer,TravelMate P6,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,SSD,1024,TRUE,1.11,13.3,8.75,1795.29,5,107.72
Acer,Predator Helios 300,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,SSD,4096,TRUE,2.75,18.4,1.68,2238.62,5,111.93
Acer,Nitro 5,Intel i5-14500H,NVIDIA RTX 4050,8,SSD,1024,FALSE,3.11,17.3,6.23,1337.43,5,93.62
Acer,Nitro 5,Intel i5-14600H,NVIDIA RTX 4050,128,SSD,1024,TRUE,1.3,13.3,1.89,2157.98,5,129.48
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,32,SSD,4096,FALSE,2.8,18.4,7.68,2793.17,5,167.59
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4060,16,SSD,1024,TRUE,1.1,14,7.3,1789.08,5,89.45
Acer,TravelMate P6,AMD Ryzen 7 8800H,NVIDIA RTX 4070,128,SSD,2048,FALSE,3.06,18.4,5.69,2699.66,5,161.98
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,128,SSD,2048,TRUE,1.9,16,6.38,3102.19,5,217.15
Acer,TravelMate P6,Intel i7-14800H,NVIDIA RTX 4070,16,SSD,2048,FALSE,1.79,15.6,14.99,2031.39,5,142.20
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,64,SSD,512,FALSE,1.46,14,6.42,2556.81,5,178.98
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,32,SSD,256,TRUE,2.43,15.6,2.67,2538.16,5,126.91
Acer,Swift 3,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,8,SSD,1024,FALSE,3.25,18.4,10.73,2118.22,5,127.09
Acer,Aspire 5,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,128,SSD,4096,TRUE,2.24,15.6,13.75,3010.67,5,210.75
Acer,TravelMate P6,Intel i7-14700H,NVIDIA RTX 4060,64,SSD,512,FALSE,1.16,14,7.5,1782.72,5,124.79
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4080,128,SSD,2048,FALSE,1.97,15.6,13.65,2736.53,5,164.19
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,8,SSD,256,FALSE,1.12,13.3,6.75,1947.67,5,116.86
Acer,Nitro 5,Intel Core Ultra 7 15500H,Intel Arc A750M,128,SSD,4096,TRUE,1.39,14,11.22,2961.21,5,207.28
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,SSD,4096,TRUE,1.17,14,0.59,2214.17,5,154.99
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4060,8,SSD,1024,FALSE,1.22,14,3.16,1730.68,5,86.53
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4080,64,SSD,256,TRUE,3,18.4,4.64,2656.5,5,185.96
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4070,8,SSD,1024,TRUE,1.31,13.3,14.84,1972.64,5,98.63
Acer,Nitro 5,Intel i5-14500H,Intel Iris Xe,8,SSD,1024,FALSE,1.2,14,0.49,1271.59,5,89.01
Acer,Swift 3,Intel i5-14600H,Intel Iris Xe,64,SSD,256,TRUE,2.75,17.3,1.92,1501.63,5,105.11
Acer,Swift 3,Intel i5-14500H,NVIDIA RTX 4050,64,SSD,4096,TRUE,2.84,18.4,0.79,2201.46,5,110.07
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 3050,16,SSD,1024,TRUE,3.15,18.4,2.01,1511.9,5,105.83
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4080,64,SSD,2048,TRUE,2.56,18.4,0.47,3083.27,5,215.83
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,8,SSD,2048,TRUE,3.13,18.4,1.73,2568.13,5,154.09
Acer,Nitro 5,Intel Core Ultra 9 15700H,Intel Arc A750M,16,SSD,2048,FALSE,2.92,18.4,8.32,2168.78,5,151.81
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4060,16,SSD,2048,TRUE,2.73,17.3,14.38,1712.31,5,102.74
Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,8,SSD,4096,TRUE,3.4,17.3,14.25,1647.01,5,98.82
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 4050,128,SSD,512,FALSE,1.47,14,13.47,1667.42,5,83.37
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4060,16,SSD,512,TRUE,2.36,15.6,9.45,1665.12,5,83.26
Acer,Nitro 5,Intel i7-14800H,NVIDIA RTX 4080,8,SSD,1024,TRUE,3.01,17.3,9.15,2255.09,5,157.86
Acer,TravelMate P6,AMD Ryzen 7 8800H,AMD Radeon 780M,64,SSD,512,FALSE,1.19,13.3,13.3,1425.03,5,99.75
Acer,TravelMate P6,Intel i5-14600H,NVIDIA RTX 3050,128,SSD,512,TRUE,3.07,18.4,12.23,1762.03,5,123.34
Acer,Predator Helios 300,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,SSD,1024,TRUE,3.15,17.3,0.78,2250.77,5,135.05
Acer,Swift 3,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,SSD,2048,FALSE,2.84,18.4,11.6,2304.27,5,138.26
Acer,Swift 3,AMD Ryzen 7 8800H,NVIDIA RTX 4060,64,SSD,1024,FALSE,3.35,17.3,8.51,1737.56,5,104.25
Acer,Nitro 5,Intel Core Ultra 9 15700H,Intel Arc A750M,32,SSD,512,FALSE,2.56,18.4,2.76,2139.78,5,128.39
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,128,SSD,256,FALSE,1.35,14,0.63,2519.66,5,151.18
Acer,TravelMate P6,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,128,SSD,1024,FALSE,2.28,15.6,4.1,2936.25,5,146.81
Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,16,SSD,512,FALSE,1.05,13.3,8.02,2393.32,5,119.67
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4060,16,SSD,512,TRUE,1.41,14,2.52,1834.38,5,128.41
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 3050,8,SSD,4096,TRUE,1.67,16,0.28,1922.45,5,115.35
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4070,64,SSD,2048,FALSE,1.17,14,6.7,2669.78,5,133.49
Acer,Swift 3,Intel i5-14600H,Intel Iris Xe,32,SSD,256,TRUE,2.39,16,3.36,1340.91,5,80.45
Acer,TravelMate P6,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,8,SSD,1024,FALSE,1.22,13.3,3.45,2529.64,5,126.48
Acer,Nitro 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,128,SSD,256,FALSE,1.45,14,3.78,2860.5,5,171.63
Acer,Swift 3,Intel i9-14900HK,NVIDIA RTX 4080,32,SSD,2048,FALSE,2.01,15.6,4.62,2636.12,5,184.53
Acer,TravelMate P6,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,SSD,1024,FALSE,1.86,15.6,7.29,2262.42,5,113.12
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4060,64,SSD,256,FALSE,2.02,15.6,12.05,1600.95,5,80.05
Acer,TravelMate P6,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,SSD,256,TRUE,1.38,14,0.08,2796.35,5,139.82
Acer,Nitro 5,Intel Core Ultra 9 15700H,Intel Arc A750M,64,SSD,512,TRUE,1.09,13.3,3.82,2540.8,5,177.86
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,128,SSD,256,TRUE,2.45,16,1.5,1760.03,5,105.60
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 3050,8,SSD,256,TRUE,3.48,18.4,7.81,1288.56,5,77.31
Acer,Predator Helios 300,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,SSD,256,FALSE,1.32,13.3,14.42,1925.82,5,115.55
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,64,SSD,1024,FALSE,1.45,13.3,9.13,2121.67,5,106.08
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,32,SSD,512,FALSE,1.67,16,5.37,2322.15,5,116.11
Acer,Swift 3,AMD Ryzen 7 8800H,AMD Radeon 780M,128,SSD,512,TRUE,2.89,17.3,1.37,1989.81,5,99.49
Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,64,SSD,512,FALSE,2.33,15.6,8.38,1670.06,5,83.50
Acer,Swift 3,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,32,SSD,512,TRUE,1.82,15.6,1.45,2396.46,5,167.75
Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,8,SSD,512,FALSE,1.42,14,7.42,1513.35,5,105.93
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4080,64,SSD,4096,TRUE,1.8,15.6,14.99,2783.63,5,167.02
Acer,Swift 3,Intel i5-14600H,NVIDIA RTX 4050,32,SSD,256,FALSE,1.58,15.6,4.17,1398.51,5,83.91
Acer,Nitro 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,64,SSD,256,FALSE,1.93,16,11.01,2295.61,5,160.69
Acer,Aspire 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,128,SSD,256,TRUE,1.37,13.3,3.26,3034.82,5,212.44
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4070,32,SSD,4096,TRUE,1.66,15.6,12.93,2554.93,5,153.30
Acer,Swift 3,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,SSD,512,FALSE,2.79,18.4,0.25,1555.44,5,93.33
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,128,SSD,256,TRUE,2.54,17.3,7.97,1810.54,5,90.53
Acer,Nitro 5,AMD Ryzen 9 8900HX,NVIDIA RTX 4070,64,SSD,512,TRUE,3,17.3,8.27,2402.06,5,168.14
Acer,TravelMate P6,Intel i7-14700H,NVIDIA RTX 4060,32,SSD,512,TRUE,2.32,15.6,0.19,1853.65,5,92.68
Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,32,SSD,4096,FALSE,1.55,16,6.54,2066.37,5,123.98
Acer,Nitro 5,Intel i7-14800H,NVIDIA RTX 4080,64,SSD,4096,FALSE,2.23,15.6,6.03,2894.36,5,173.66
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,128,SSD,2048,TRUE,1.49,13.3,5.55,3037.16,5,151.86
Acer,Aspire 5,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,128,SSD,4096,FALSE,3.01,17.3,0.48,2717.2,5,163.03
Acer,Aspire 5,AMD Ryzen 5 8600H,AMD Radeon 680M,32,SSD,512,TRUE,3.27,17.3,10.05,1290.91,5,90.36
Acer,Predator Helios 300,Intel i5-14500H,Intel Iris Xe,64,SSD,256,TRUE,1.92,15.6,10.26,1365.68,5,68.28
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 3050,128,SSD,256,FALSE,1.26,14,14.69,1553.35,5,77.67
Acer,TravelMate P6,AMD Ryzen 5 8600H,NVIDIA RTX 3050,64,SSD,2048,FALSE,3.01,18.4,14.13,1514.44,5,75.72
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,8,SSD,512,FALSE,1.18,13.3,7.18,1985.14,5,119.11
Acer,Nitro 5,Intel i5-14500H,NVIDIA RTX 4050,32,SSD,2048,FALSE,1.74,15.6,13.84,1467.46,5,102.72
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4060,64,SSD,2048,FALSE,1.18,13.3,0.85,2197.37,5,131.84
Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,32,SSD,2048,FALSE,1.35,14,1.88,1907.86,5,133.55
Acer,Aspire 5,AMD Ryzen 9 8900HX,AMD Radeon 780M,64,SSD,4096,TRUE,1.89,15.6,0.11,2379.22,5,166.55
Acer,Aspire 5,Intel Core Ultra 7 15500H,Intel Arc A750M,8,SSD,256,FALSE,2.29,16,11.58,1625.75,5,81.29
Acer,Aspire 5,Intel i5-14600H,NVIDIA RTX 3050,128,SSD,4096,TRUE,1.1,13.3,12.71,2258.19,5,135.49
Acer,Predator Helios 300,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,SSD,256,FALSE,1.38,14,4.94,2302.01,5,161.14
Acer,Predator Helios 300,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,64,SSD,512,FALSE,1.3,13.3,10.45,1803.27,5,108.20
Acer,Predator Helios 300,Intel i9-14900HK,NVIDIA RTX 4070,32,SSD,1024,FALSE,1.19,14,11.66,2211.54,5,132.69
Acer,Aspire 5,Intel i7-14700H,NVIDIA RTX 4060,8,SSD,256,FALSE,1.4,14,14.93,1350.42,5,81.03
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,SSD,4096,FALSE,1.42,14,12.26,1709.38,5,119.66
Acer,TravelMate P6,AMD Ryzen 7 8800H,AMD Radeon 780M,128,SSD,1024,FALSE,3.05,18.4,3.89,1871.47,5,131.00
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4070,32,SSD,2048,TRUE,2.3,15.6,10.13,2295.79,5,114.79
Acer,Nitro 5,Intel i5-14500H,Intel Iris Xe,64,SSD,4096,FALSE,1.04,14,14.04,1684.91,5,84.25
Acer,Aspire 5,AMD Ryzen 7 8800H,NVIDIA RTX 4060,8,SSD,256,FALSE,2.36,16,9.48,1368.99,5,82.14
Acer,Nitro 5,AMD Ryzen 5 8600H,AMD Radeon 680M,8,SSD,512,FALSE,3.42,17.3,13.93,1014.76,5,50.74
Acer,Nitro 5,Intel i7-14800H,NVIDIA RTX 4060,8,SSD,4096,FALSE,2.7,17.3,13.5,1825.96,5,91.30
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4060,32,SSD,1024,TRUE,2.91,18.4,7.27,1845.26,5,92.26
Acer,Aspire 5,Intel i5-14600H,Intel Iris Xe,8,SSD,256,FALSE,2.66,17.3,12,995.77,5,59.75
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4080,128,SSD,1024,TRUE,1.6,15.6,8.39,2933.53,5,146.68
Acer,Swift 3,Intel i5-14600H,NVIDIA RTX 3050,32,SSD,2048,FALSE,1.34,14,14.19,1458.44,5,87.51
Acer,Aspire 5,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,SSD,256,TRUE,2.6,18.4,14.62,2159.78,5,129.59
Acer,TravelMate P6,Intel Core Ultra 7 15500H,NVIDIA RTX 4070,64,SSD,1024,FALSE,2.19,16,14.54,2146.8,5,128.81
Acer,TravelMate P6,AMD Ryzen 9 8900HX,AMD Radeon 780M,128,SSD,1024,FALSE,3.5,18.4,4.25,2027.89,5,121.67
Acer,Nitro 5,Intel i5-14500H,Intel Iris Xe,128,SSD,4096,TRUE,2.24,16,9.94,2091.06,5,125.46
Acer,Swift 3,Intel Core Ultra 7 15500H,Intel Arc A750M,16,SSD,4096,TRUE,1.23,13.3,12.98,2361.07,5,165.27
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4070,128,SSD,2048,TRUE,1.54,16,14.41,2867.7,5,200.74
Acer,Swift 3,Intel i7-14800H,NVIDIA RTX 4080,64,SSD,1024,FALSE,2.81,17.3,13.71,2269.43,5,158.86
Acer,TravelMate P6,Intel i5-14600H,Intel Iris Xe,16,SSD,1024,FALSE,2.29,15.6,6.13,1216.86,5,85.18
Acer,Swift 3,Intel i7-14700H,NVIDIA RTX 4060,32,SSD,2048,FALSE,1.12,14,10,1805.5,5,126.39
Acer,Swift 3,AMD Ryzen 5 8600H,AMD Radeon 680M,128,SSD,2048,FALSE,2.39,16,13.53,1675.59,5,83.78
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 3050,8,SSD,2048,FALSE,1.47,13.3,11.09,1364.12,5,81.85
Acer,Aspire 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,16,SSD,1024,FALSE,1.1,14,11.1,1337.31,5,93.61
Acer,Predator Helios 300,Intel i7-14700H,NVIDIA RTX 4070,128,SSD,2048,TRUE,3.23,18.4,12.32,2702.23,5,189.16
Acer,Predator Helios 300,Intel i5-14600H,Intel Iris Xe,32,SSD,256,FALSE,1.09,14,1.57,1272.88,5,76.37
Acer,Nitro 5,Intel i7-14700H,NVIDIA RTX 4070,128,SSD,256,FALSE,1.16,14,13.18,2325.41,5,139.52
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4080,128,SSD,512,TRUE,1.37,14,5.91,3085.14,5,154.26
Asus,ZenBook 14,Intel Core Ultra 7 15500H,Intel Arc A750M,8,SSD,256,TRUE,1.32,13.3,10.37,1901.7,7,133.12
Asus,ExpertBook B9,Intel i9-14900HK,NVIDIA RTX 4070,32,SSD,2048,FALSE,2.04,16,9.29,2429.73,7,170.08
Asus,TUF Gaming F15,Intel i7-14700H,NVIDIA RTX 4070,64,SSD,256,FALSE,2.45,15.6,9.76,2095.66,7,125.74
Asus,TUF Gaming F15,Intel i9-14900HK,NVIDIA RTX 4080,16,SSD,4096,FALSE,2.96,18.4,4.46,2892.81,7,173.57
Asus,ZenBook 14,AMD Ryzen 7 8800H,AMD Radeon 780M,8,SSD,1024,FALSE,1.29,14,6.93,1390.68,7,69.53
Asus,ExpertBook B9,Intel Core Ultra 9 15700H,NVIDIA RTX 4080,128,SSD,256,FALSE,2.73,17.3,8.27,2894.51,7,144.73
Asus,TUF Gaming F15,Intel i5-14500H,NVIDIA RTX 4050,64,SSD,256,TRUE,2.39,16,8.69,1606.74,7,112.47
Asus,ExpertBook B9,Intel i7-14700H,NVIDIA RTX 4070,64,SSD,512,TRUE,3.23,18.4,11.34,2262.68,7,135.76
Asus,TUF Gaming F15,Intel i5-14600H,NVIDIA RTX 4050,8,SSD,256,TRUE,2.77,17.3,10.37,1353.86,7,67.69
Asus,TUF Gaming F15,Intel i9-14900HK,NVIDIA RTX 4070,64,SSD,512,TRUE,1.17,14,6.16,2680.51,7,187.64
Asus,ZenBook 14,Intel i9-14900HK,NVIDIA RTX 4070,64,SSD,4096,FALSE,2.02,15.6,10.51,2821.31,7,141.07
Asus,TUF Gaming F15,AMD Ryzen 9 8900HX,NVIDIA RTX 4080,16,SSD,1024,TRUE,1.19,13.3,10.15,2499.01,7,124.95
Asus,ZenBook 14,Intel i5-14500H,Intel Iris Xe,16,SSD,256,FALSE,2.77,17.3,0.81,1179.12,7,58.96
Asus,ExpertBook B9,AMD Ryzen 5 8600H,AMD Radeon 680M,32,SSD,256,FALSE,1.17,14,2.71,1292.42,7,77.55
